price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
2022-07-01;143.5;-21.0;-12.77;151.62;-22.19;-12.77;2022-06-09;2022-06-10 15:17:00.730531+00:00
2022-08-01;140.5;-9.5;-6.33;148.45;-10.04;-6.33;2022-06-09;2022-06-10 15:17:00.730531+00:00
2022-09-01;142.0;-11.3;-7.37;150.04;-11.94;-7.37;2022-06-09;2022-06-10 15:17:00.730531+00:00
2022-10-01;140.0;-13.39;-8.73;147.92;-14.15;-8.73;2022-06-09;2022-06-10 15:17:00.730531+00:00
2022-11-01;134.89;-10.53;-7.24;142.52;-11.13;-7.24;2022-06-09;2022-06-10 15:17:00.730531+00:00
2022-12-01;140.49;-10.54;-6.98;148.44;-11.14;-6.98;2022-06-09;2022-06-10 15:17:00.730531+00:00
