date,price_forecast,base_dif,base_dif_per,punta_precio,punta_dif,punta_dif_per,request_time
2022-01-28,223.47,-44.72,-16.67,232.72,-46.57,-16.67,2022-01-04 10:03:50.813884+00:00
2022-01-29,168.25,-33.67,-16.67,,,,2022-01-04 10:03:50.813884+00:00
2022-01-30,136.45,-27.3,-16.67,,,,2022-01-04 10:03:50.813884+00:00
2022-01-31,223.47,35.33,18.78,232.72,36.8,18.78,2022-01-04 10:03:50.813884+00:00
2022-02-01,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-02,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-03,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-04,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-05,169.78,-33.66,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-06,137.69,-27.3,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-07,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-08,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-09,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-10,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-11,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-12,169.78,-33.66,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-13,137.69,-27.3,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-14,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-15,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-16,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-17,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-18,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-19,169.78,-33.66,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-20,137.69,-27.3,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-21,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-22,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-23,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-24,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-25,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-02-26,169.78,-33.66,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-27,137.69,-27.3,-16.55,,,,2022-01-04 10:03:50.813884+00:00
2022-02-28,225.5,-44.72,-16.55,234.83,-46.57,-16.55,2022-01-04 10:03:50.813884+00:00
2022-01-05,180.2,28.05,18.44,210.2,51.76,32.67,2022-01-05 09:00:01.544073+00:00
2022-01-06,180.2,28.05,18.44,187.66,29.22,18.44,2022-01-05 09:00:01.544073+00:00
